date_seen,store,label,bale_weight_lbs,
8/16/18,82,417,1121,
8/16/18,82,418,991,
8/16/18,82,419,719,
8/16/18,82,420,897,
8/16/18,82,421,883,
8/16/18,83,440,902,
8/16/18,30,231,1024,
8/16/18,84,399,939,
8/16/18,86,446,721,
8/16/18,89,480,363,
8/16/18,89,481,285,
8/16/18,90,33,1048,
8/16/18,92,95,1043,
8/16/18,92,96,1068,
8/16/18,76,394,948,
8/16/18,76,395,1073,
8/16/18,85,9,1012,
8/16/18,91,456,1046,
8/16/18,93,477,957,
8/16/18,96,325,1027,
8/16/18,96,326,1045,
8/16/18,97,237,1181,
8/16/18,97,238,887,
8/16/18,97,239,860,
8/16/18,98,14,1031,
8/16/18,98,16,1010,
8/16/18,101,485,952,
8/16/18,101,486,952,
8/16/18,101,487,952,
8/16/18,103,150,1004,
8/16/18,103,151,1173,
8/16/18,103,152,1170,
8/16/18,104,331,801,
8/16/18,31,247,944,
8/16/18,31,248,887,
8/16/18,105,276,856,
8/16/18,105,277,830,
8/16/18,105,278,718,
8/16/18,105,279,599,
8/16/18,105,280,640,
8/16/18,105,281,1328,
8/16/18,105,282,837,
8/16/18,106,6,1040,
8/16/18,110,364,1057,
8/16/18,113,49,928,
8/16/18,113,50,840,
8/16/18,32,464,1117,
8/16/18,33,33,791,
8/16/18,33,34,1107,
8/16/18,33,35,1040,
8/16/18,33,36,1078,
8/16/18,33,37,1162,
8/16/18,33,38,904,
8/16/18,33,39,793,
8/16/18,4,46,1045,
8/16/18,34,98,839,
8/16/18,5,464,943,
8/16/18,5,465,880,
8/16/18,116,393,1144,
8/16/18,116,395,817,
8/16/18,119,366,1037,
8/16/18,119,367,613,
8/16/18,127,336,998,
8/16/18,128,120,941,
8/16/18,129,459,763,
8/16/18,131,88,1006,
8/16/18,131,89,878,
8/16/18,131,90,887,
8/16/18,131,91,952,
8/16/18,132,7,1017,
8/16/18,132,8,1033,
8/16/18,132,9,1025,
8/16/18,134,75,931,
8/16/18,134,76,1085,
8/16/18,136,278,967,
8/16/18,136,279,960,
8/16/18,38,22,957,
8/16/18,38,23,957,
8/16/18,38,24,957,
8/16/18,126,48,1050,
8/16/18,141,52,1105,
8/16/18,141,53,1045,
8/16/18,141,54,729,
8/16/18,142,485,890,
8/16/18,142,486,1035,
8/16/18,39,344,1128,
8/16/18,39,345,1042,
8/16/18,39,346,1133,
8/16/18,39,347,1152,
8/16/18,147,174,880,
8/16/18,147,175,835,
8/16/18,148,333,1042,
8/16/18,151,398,959,
8/16/18,151,399,1032,
8/16/18,152,305,975,
8/16/18,152,306,949,
8/16/18,152,307,953,
8/16/18,153,458,882,
8/16/18,153,459,1058,
8/16/18,154,148,1235,
8/16/18,158,230,1042,
8/16/18,158,231,956,
8/16/18,154,152,1177,
8/16/18,6,219,989,
8/16/18,6,220,946,
8/16/18,6,221,978,
8/16/18,6,222,957,
8/16/18,41,106,888,
8/16/18,161,234,1038,
8/16/18,164,98,782,
8/16/18,164,99,1341,
8/16/18,164,100,845,
8/16/18,164,101,1102,
8/16/18,164,102,761,
8/16/18,164,103,788,
8/16/18,164,104,804,
8/16/18,165,262,1046,
8/16/18,166,34,318,
8/16/18,166,35,734,
8/16/18,169,363,1070,
8/16/18,169,364,1123,
8/16/18,169,365,1038,
8/16/18,170,42,1007,
8/16/18,172,76,1225,
8/16/18,172,78,635,
8/16/18,172,79,1039,
8/16/18,172,80,1039,
8/16/18,172,81,1108,
8/16/18,172,83,1244,
8/16/18,172,85,1043,
8/16/18,172,86,1173,
8/16/18,174,21,976,
8/16/18,174,25,280,
8/16/18,174,26,1007,
8/16/18,174,27,358,
8/16/18,175,154,866,
8/16/18,175,155,955,
8/16/18,175,156,996,
8/16/18,176,300,919,
8/16/18,177,242,1136,
8/16/18,178,387,1021,
8/16/18,178,389,504,
8/16/18,178,390,959,
8/16/18,178,391,936,
8/16/18,178,392,929,
8/16/18,178,393,978,
8/16/18,179,149,925,
8/16/18,166,32,807,
8/16/18,166,33,915,
8/16/18,181,326,710,
8/16/18,182,295,978,
8/16/18,182,296,750,
8/16/18,183,489,994,
8/16/18,183,490,884,
8/16/18,186,335,1020,
8/16/18,186,336,1048,
8/16/18,48,175,1108,
8/16/18,48,176,968,
8/16/18,48,177,937,
8/16/18,50,205,1025,
8/16/18,50,206,1116,
8/16/18,50,207,988,
8/16/18,53,164,1081,
8/16/18,53,165,991,
